frame	time_s	dir	data
13232	33.549748	OUT	06010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13234	33.552247	IN 	0616050522030f0f0f20202003058105005200000000000000000000000000000000000000000000000000000000000000009411dc05dc05dc05000000000000
13237	33.552697	OUT	06020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13241	33.556242	IN 	05000160f00080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e00100000000060060f0003e3a0000020480da02
13243	33.556309	OUT	06030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13245	33.561246	IN 	66000000000000000000050916010100000000002c2df008ffff000000000000000000f600000000000000000000000000000000000000000000000000000000
13365	33.817072	OUT	03080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13367	33.821247	IN 	0300436f6e6669672e786d6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13740	34.621999	OUT	65204001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13744	34.625251	IN 	65200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13746	34.625278	OUT	65202001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13750	34.628251	IN 	65204641353033000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13752	34.628269	OUT	65200001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13756	34.631256	IN 	6520483035553030333236382d303530304d363537392d3030353200000000000000000000000000000000000000000000000000000000000000000000000000
13758	34.631275	OUT	66000001000000000000050900010100000000002c2df008ffff000000000000000000f600000000000000000000000000000000000000000000000000000000
13764	34.636257	IN 	66000000000000000000050916010100000000002c2df008ffff000000000000000000f600000000000000000000000000000000000000000000000000000000
13766	34.636276	OUT	67000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13770	34.640252	IN 	6700ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000000000000000000000000000000000000000
13814	34.710172	OUT	6520a050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13816	34.712253	IN 	6520000000000000000000000001000000000000000080881300c302000080102700000000000000000000000000000000000000000000000000000000000000
13860	34.772971	OUT	6520c050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13864	34.775257	IN 	6520c302000080204e00c30200008050c300c302000080a08601c302000080400d03000000000000000000000000000000000000000000000000000000000000
13895	34.834574	OUT	6520e050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13897	34.836255	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
19986	46.297363	IN 	05000160f00000000f09000200000000000000000060f000ffffff00000000005d3e00f60100000000000000e001d7000000060160f0003e3a0000224080da02
22972	51.139892	OUT	05000146ec0000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
22976	51.143405	IN 	05000146ec0000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e00152010200060160f0003e3a0000220080da02
23046	51.277410	IN 	05000146ec0000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e00185010100060146ec003e3a0000224080da02
23116	51.410412	IN 	05000146ec0000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001ed000100060146ec003e3a0000620080da02
24016	52.798904	OUT	050001d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
24020	52.802426	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a9000000060146ec003e3a0000620080da02
24096	52.936424	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a90000000601d8f5003e3a0000620080da02
24771	53.974210	OUT	050002d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
24784	53.977454	IN 	050002d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001e60008000601d8f5003e3a0000620080da02
24937	54.252455	IN 	050002d8f50080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0011b0108000600d8f5003e3a0000024580da02
25001	54.369557	OUT	03080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25003	54.373440	IN 	0300436f6e6669672e786d6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25014	54.386440	IN 	050002d8f56600000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001960004000600d8f5003e3a0000020080da02
25058	54.431889	OUT	6520a060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25062	54.434438	IN 	6520000000000000000000000001000000000000000080881300c302000080102700000000000000000000000000000000000000000000000000000000000000
25105	54.494788	OUT	6520c060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25109	54.497440	IN 	6520c302000080204e00c30200008050c300c302000080a08601c302000080400d03000000000000000000000000000000000000000000000000000000000000
25154	54.557864	OUT	6520e060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25158	54.560438	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
26051	55.877265	OUT	050003d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
26053	55.880451	IN 	050003d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0010f0106000600d8f5003e3a0000024080da02
26220	56.147453	IN 	050003d8f50080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e00159010a000600d8f5003e3a0000020580da02
26322	56.278213	OUT	03080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26328	56.282458	IN 	0300436f6e6669672e786d6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26378	56.340298	OUT	6520a070020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26380	56.342454	IN 	6520000000000000000000000001000000000000000080881300c302000080102700000000000000000000000000000000000000000000000000000000000000
26404	56.402890	OUT	6520c070020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26408	56.405456	IN 	6520c302000080204e00c30200008050c300c302000080a08601c302000080400d03000000000000000000000000000000000000000000000000000000000000
26416	56.415453	IN 	050003d8f50080000f09000200000000000000000060f0a0ffffff00000000000d0300f60100000000000000e001030212000600d8f5003e3a0000020580da02
26452	56.465900	OUT	6520e070020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26455	56.468454	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
26490	56.549458	IN 	050003d8f50000000f09000200000000000000000060f000ffffff00000000005d3e00f60100000000000000e001000000000600d8f5003e3a0000020080da02
27015	57.355418	OUT	050002d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
27017	57.358464	IN 	050002d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001180107000600d8f5003e3a0000020080da02
27181	57.625466	IN 	050002d8f50080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001b30007000600d8f5003e3a0000020580da02
27245	57.748682	OUT	03080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27247	57.751467	IN 	0300436f6e6669672e786d6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27251	57.759472	IN 	050002d8f56680000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001c20007000600d8f5003e3a0000020580da02
27286	57.812164	OUT	6520a060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27290	57.814467	IN 	6520000000000000000000000001000000000000000080881300c302000080102700000000000000000000000000000000000000000000000000000000000000
27319	57.874946	OUT	6520c060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27321	57.877478	IN 	6520c302000080204e00c30200008050c300c302000080a08601c302000080400d03000000000000000000000000000000000000000000000000000000000000
27326	57.892469	IN 	050002d8f50000000f09000200000000000000000060f0a0ffffff00000000000d0300f60100000000000000e001200000000600d8f5003e3a0000024080da02
27360	57.936918	OUT	6520e060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27362	57.939467	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
27456	58.061174	OUT	6520e060020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27460	58.063469	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
27806	58.668694	OUT	050001d8f50080000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
27810	58.671475	IN 	050001d8f50080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a50114000600d8f5003e3a0000024080da02
27960	58.946481	IN 	050001d8f50080000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013f0109000600d8f5003e3a0000024580da02
28078	59.063007	OUT	03080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28086	59.066482	IN 	0300436f6e6669672e786d6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28100	59.080479	IN 	050001d8f56600000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001cc000d000600d8f5003e3a0000024080da02
28121	59.124607	OUT	6520a050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28125	59.126480	IN 	6520000000000000000000000001000000000000000080881300c302000080102700000000000000000000000000000000000000000000000000000000000000
28162	59.187158	OUT	6520c050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28164	59.189482	IN 	6520c302000080204e00c30200008050c300c302000080a08601c302000080400d03000000000000000000000000000000000000000000000000000000000000
28193	59.250507	OUT	6520e050020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28195	59.252485	IN 	6520c30200008020a107c30200008040420fc302000080006a18c3020000ffff5d3e000000000000000000000000000000000000000000000000000000000000
28966	60.571696	IN 	050001d8f50000000f09000200000000000000000060f000ffffff00000000005d3e00f60100000000000000e001aa032a000601d8f5003e3a0000220080da02
30640	63.207787	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30644	63.210522	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0011c010d000601d8f5003e3a0000220080da02
30666	63.270473	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30670	63.273525	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001fc0224000601d8f5003e3a0000224080da02
30708	63.325255	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30710	63.328518	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001fc0224000601d8f5003e3a0000224080da02
30738	63.394131	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30745	63.397520	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001580210000601d8f5003e3a0000220080da02
30790	63.457315	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30792	63.460521	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001650214000601d8f5003e3a0000224080da02
30814	63.521339	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30818	63.524522	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001650214000601d8f5003e3a0000224080da02
30858	63.582893	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30864	63.586526	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001540107000601d8f5003e3a0000220080da02
30888	63.644229	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30914	63.647522	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001540107000601d8f5003e3a0000220080da02
30954	63.706118	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30958	63.709523	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001af0110000601d8f5003e3a0000224080da02
30985	63.765237	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
30987	63.768523	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001260324000601d8f5003e3a0000220080da02
31030	63.832050	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31036	63.835523	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001260324000601d8f5003e3a0000220080da02
31057	63.895265	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31062	63.898527	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a4011e000601d8f5003e3a0000224080da02
31102	63.957203	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31106	63.960526	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a4011e000601d8f5003e3a0000224080da02
31127	64.019838	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31130	64.022533	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001eb0123000601d8f5003e3a0000220080da02
31199	64.082703	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31205	64.085525	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0017b0235000601d8f5003e3a0000224080da02
31228	64.144337	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31234	64.147531	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0017b0235000601d8f5003e3a0000224080da02
31272	64.203560	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31276	64.206527	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a8010c000601d8f5003e3a0000220080da02
31299	64.270102	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31304	64.273653	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013d010d000601d8f5003e3a0000224080da02
31344	64.332179	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31350	64.335530	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013d010d000601d8f5003e3a0000224080da02
31369	64.393229	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31376	64.396530	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0019e022d000601d8f5003e3a0000220080da02
31424	64.457553	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31428	64.460529	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0019e022d000601d8f5003e3a0000220080da02
31447	64.519132	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31452	64.522542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001b1042d000601d8f5003e3a0000224080da02
31494	64.582460	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31498	64.585530	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001de021f000601d8f5003e3a0000220080da02
31529	64.644490	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31548	64.647532	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001de021f000601d8f5003e3a0000220080da02
31588	64.706260	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31592	64.709531	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0012e043b000601d8f5003e3a0000224080da02
31612	64.763798	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31618	64.766533	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0012e043b000601d8f5003e3a0000224080da02
31664	64.830092	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31668	64.833532	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0014c011c000601d8f5003e3a0000220080da02
31689	64.892982	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31696	64.896534	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001af0005000601d8f5003e3a0000224080da02
31736	64.955318	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31740	64.958538	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001af0005000601d8f5003e3a0000224080da02
31762	65.018345	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31766	65.021536	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001170107000601d8f5003e3a0000220080da02
31830	65.077539	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31832	65.080535	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001dd0006000601d8f5003e3a0000224080da02
31862	65.143155	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31868	65.146540	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001dd0006000601d8f5003e3a0000224080da02
31908	65.205295	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31912	65.208537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001ea0223000601d8f5003e3a0000220080da02
31933	65.268422	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31937	65.271537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001680222000601d8f5003e3a0000224080da02
31978	65.330759	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31982	65.333537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001680222000601d8f5003e3a0000224080da02
32003	65.394304	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32010	65.397538	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001970007000601d8f5003e3a0000220080da02
32053	65.456178	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32057	65.459539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001970007000601d8f5003e3a0000220080da02
32081	65.515334	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32083	65.518539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0015b0108000601d8f5003e3a0000224080da02
32126	65.580837	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32130	65.583539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a8011c000601d8f5003e3a0000220080da02
32151	65.643161	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32158	65.646541	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a8011c000601d8f5003e3a0000220080da02
32222	65.705097	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32226	65.708542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001410435000601d8f5003e3a0000224080da02
32247	65.768024	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32251	65.771542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001aa0109000601d8f5003e3a0000220080da02
32298	65.830176	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32302	65.833542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001aa0109000601d8f5003e3a0000220080da02
32324	65.892435	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32330	65.895544	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001620116000601d8f5003e3a0000224080da02
32368	65.951596	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32370	65.954546	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001620116000601d8f5003e3a0000224080da02
32395	66.017730	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32399	66.020546	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0017e0005000601d8f5003e3a0000220080da02
32466	66.080315	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32468	66.083545	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f8021a000601d8f5003e3a0000224080da02
32493	66.141870	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32495	66.144545	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f8021a000601d8f5003e3a0000224080da02
32546	66.205037	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32548	66.208548	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f0021c000601d8f5003e3a0000220080da02
32569	66.267056	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32574	66.270547	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f0021c000601d8f5003e3a0000220080da02
32616	66.330171	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32618	66.333551	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001240339000601d8f5003e3a0000224080da02
32640	66.392366	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32646	66.395552	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001e8032a000601d8f5003e3a0000220080da02
32684	66.454268	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32690	66.457557	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001e8032a000601d8f5003e3a0000220080da02
32715	66.514011	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32720	66.517551	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013a0317000601d8f5003e3a0000224080da02
